object,id,ra,dec,i_mag,g_mag,bp_rp,excess_noise,i_mag1
OGLE-BLG-0002,4091106398478020608,276.3178493601139,-21.11218324870272,18.20281791687012,19.33768653869629,1.9828605651855469,1.846567988395691,18.224417781564554
OGLE-BLG-0002,4091106574513125376,276.3164346377653,-21.111273792305383,17.31474494934082,18.3686752319336,1.7740859985351562,1.6967580318450928,17.334755106269785
OGLE-BLG-0002,4091106570243261312,276.3161393945475,-21.11224904679426,18.1167106628418,19.155271530151367,1.7367877960205078,1.5258136987686155,18.13641121560371
OGLE-BLG-0002,4091106608933171072,276.317609423332,-21.11038823065718,18.04925346374512,19.09956932067871,1.7652549743652344,2.0905516147613525,18.069190665939782
OGLE-BLG-0002,4091106398444591744,276.3186204322005,-21.110745364568285,17.439071655273438,18.39694023132324,1.5509414672851562,0.9346309900283812,17.457112702523897
OGLE-BLG-0002,4091106364084836736,276.3164699316362,-21.11373941779371,17.58009910583496,18.62735748291016,1.7578125,1.234657883644104,17.59997511901856
OGLE-BLG-0002,4091106364118280320,276.31573186238745,-21.11319956854961,17.86863136291504,18.995555877685547,1.9613380432128904,1.3252545595169067,17.890079010267428
OGLE-BLG-0002,4091106604603005952,276.3166909266785,-21.11009885307216,17.67705726623535,18.76736259460449,1.86517333984375,0.7864634990692139,17.69779061638232
OGLE-BLG-0002,4091106570243248896,276.31499560028647,-21.11208797523637,17.624887466430664,18.704858779907227,1.8388710021972656,0.9774479866027832,17.645417501832828
OGLE-BLG-0002,4091106364058311296,276.31654137190264,-21.114834699816043,13.7555570602417,15.040223121643066,2.4499406814575195,0.0414325892925262,13.779834911861368
